Name,Team,ERA
Valente Bellozo,Colorado Rockies,4.68
Bryan Hoeing,San Diego Padres,4.3
Felipe De La Cruz,New York Mets,4.66
Billy Corcoran,Arizona Diamondbacks,4.46
Zack Thompson,St. Louis Cardinals,4.56
Trevor Williams,Washington Nationals,4.93
Jose Fleury,Houston Astros,4.54
Chuck King,Philadelphia Phillies,5.22
Griffin Canning,San Diego Padres,4.76
Blake Wehunt,Boston Red Sox,4.78
Cameron Weston,Baltimore Orioles,4.97
Jared Shuster,St. Louis Cardinals,4.56
Connor Phillips,Cincinnati Reds,4.92
Anthony Molina,Atlanta Braves,4.95
Tomoyuki Sugano,Colorado Rockies,4.87
Davis Daniel,Cincinnati Reds,5.63
Brad Keller,Philadelphia Phillies,4.43
Tommy Henry,Arizona Diamondbacks,4.55
Reid VanScoter,Seattle Mariners,4.72
Cody Poteet,,4.31
Erick Fedde,Chicago White Sox,4.97
Caleb Kilian,San Francisco Giants,4.61
Nick Dombkowski,Pittsburgh Pirates,4.52
Mitch Myers,Athletics,4.79
Carson Palmquist,Colorado Rockies,5.26
Yilber D�az,Arizona Diamondbacks,4.16
Victor Mederos,Kansas City Royals,5.12
Jean Cabrera,Philadelphia Phillies,5.2
Freddy Tarnok,,4.41
Sean Sullivan,Pittsburgh Pirates,4.46
Trent Sellers,New York Yankees,4.98
Chris Murphy,Chicago White Sox,4.6
Lael Lockhart,Detroit Tigers,4.92
Cory Abbott,,4.9
Max Alba,Detroit Tigers,5.04
John Michael Bertrand,San Francisco Giants,4.71
Ryan Yarbrough,New York Yankees,4.58
Lucas Gordon,Chicago White Sox,5.15
Jacob Waguespack,Milwaukee Brewers,4.53
Jurrangelo Cijntje,St. Louis Cardinals,4.72
Jaden Hamm,Detroit Tigers,5.07
Charlie Morton,,4.88
Grant Holmes,Atlanta Braves,4.16
Jose Gonzalez,Kansas City Royals,5.24
Chase Solesky,Tampa Bay Rays,5.01
Mois�s Chace,Philadelphia Phillies,4.86
Brandon Waddell,New York Mets,4.67
Robert Stock,New York Mets,4.86
Dakota Hudson,,5.35
Trystan Vrieling,San Francisco Giants,4.72
Emiliano Teodo,Texas Rangers,4.7
Andrew Hoffmann,Arizona Diamondbacks,4.05
Trenton Wallace,Toronto Blue Jays,4.48
Bowden Francis,Toronto Blue Jays,4.69
Trent Baker,Minnesota Twins,4.81
Owen Wild,Tampa Bay Rays,5.23
Jordan Balazovic,,4.64
Carlos Pe�a,Detroit Tigers,4.96
Rodney Boone,Cleveland Indians,4.44
Adam Macko,Toronto Blue Jays,4.76
Julian Aguiar,Cincinnati Reds,5.42
Andry Lara,Washington Nationals,4.95
Josh Trentadue,Texas Rangers,5.05
Jos� Urquidy,Pittsburgh Pirates,4.8
Rafael Sanchez,Toronto Blue Jays,5.02
Dylan Smith,Detroit Tigers,4.5
Hancel Rincon,St. Louis Cardinals,4.79
Connor McCullough,Chicago White Sox,5.05
Ty Blach,,5.21
Kyle Robinson,Athletics,5.15
Ky Bush,Chicago White Sox,5.1
Kyle Carr,New York Yankees,5.33
Avery Weems,,4.56
Spencer Turnbull,,5.04
Jack Mahoney,Colorado Rockies,5.49
Jackson Rutledge,Washington Nationals,4.92
Ryan Lobus,Texas Rangers,4.62
Anders Tolhurst,,4.82
Po-Yu Chen,Pittsburgh Pirates,4.89
Taijuan Walker,Philadelphia Phillies,5.13
Connor Seabold,Toronto Blue Jays,5.01
Thaddeus Ward,,4.74
Jared Lyons,Cincinnati Reds,5.29
Andrew Sears,Detroit Tigers,5.1
Jos� De Le�n,,4.83
Jack Choate,San Francisco Giants,4.76
Brendan Girton,New York Mets,5.03
Christian MacLeod,Minnesota Twins,4.73
Joey Lucchesi,,4.22
Josh Maciejewski,,4.5
Cole Wilcox,Seattle Mariners,4.57
Zach Penrod,Washington Nationals,4.47
Nico Tellache,Seattle Mariners,4.6
Bryce Jarvis,Arizona Diamondbacks,4.65
Mike Clevinger,Pittsburgh Pirates,4.96
Lyon Richardson,Cincinnati Reds,4.86
Alonzo Tredwell,Houston Astros,4.77
Jake Bloss,Toronto Blue Jays,4.78
Erick Leal,,5.37
Vince Velasquez,Boston Red Sox,4.48
Adam Laskey,Colorado Rockies,4.99
Chase Chaney,New York Yankees,5.2
Zach Thompson,,4.82
Alex Cornwell,St. Louis Cardinals,4.74
Kai-Wei Teng,Houston Astros,4.8
Derek Diamond,Pittsburgh Pirates,4.76
Antonio Senzatela,Colorado Rockies,5.54
River Ryan,Los Angeles Dodgers,4.93
Walker Powell,Boston Red Sox,4.6
Bryse Wilson,Philadelphia Phillies,4.91
Blane Abeyta,Atlanta Braves,4.67
Dalton Rogers,Boston Red Sox,4.86
Carl Edwards Jr.,New York Mets,4.44
Tyson Guerrero,Kansas City Royals,5
Ricky Tiedemann,Toronto Blue Jays,4.68
Wyatt Crowell,Los Angeles Dodgers,5.22
Brandon Williamson,Cincinnati Reds,5.35
TJ Shook,Colorado Rockies,5.07
Austin Bergner,Texas Rangers,4.91
Luis Palacios,Miami Marlins,4.8
Casey Lawrence,Seattle Mariners,4.98
Blake Walston,Arizona Diamondbacks,4.59
Jose Franco,Cincinnati Reds,5.48
Riley Cornelio,Washington Nationals,5.19
Rorik Maltrud,Cleveland Indians,4.65
Albert Su�rez,Baltimore Orioles,4.86
Peter Solomon,,4.84
Eiberson Castellano,Colorado Rockies,5.09
Bryan Mata,,4.5
Beau Brieske,Detroit Tigers,4.81
Carson Fulmer,Pittsburgh Pirates,4.96
Prelander Berroa,Chicago White Sox,4.67
Jonathan Heasley,Kansas City Royals,4.95
Jose Acuna,Cincinnati Reds,5.63
Nick Zwack,San Francisco Giants,4.79
Dallas Keuchel,,5.07
Connor Schultz,Boston Red Sox,4.71
Antonio Santos,,4.78
T.J. Sikkema,Boston Red Sox,4.92
Walbert Urena,Kansas City Royals,5.4
Aaron Rozek,New York Mets,5.05
Karson Milbrandt,Miami Marlins,5
Trevor Martin,Tampa Bay Rays,4.91
Carlos Carrasco,Atlanta Braves,5.36
Victor Juarez,Colorado Rockies,5.06
